1;;Jenin;;32.4646;;35.2939
2;;Tubas;;32.3211;;35.3700
3;;Tulkarem;;32.3194;;35.0240
4;;Nables;;32.2227;;35.2621
5;;Qalqelya;;32.1960;;34.9815
6;;Salfit;;32.0851;;35.1808
7;;Ramallah;;31.9038;;35.2034
8;;jericho;;31.8611;;35.4618
9;;Jurusalem;;31.7683;;35.2137
10;;bethlehem;;31.7054;;35.2024
11;;Hebron;;31.5326;;35.0998
12;;Absan al_Kabira;;31.3231;;34.3440
13;;Abu Dis;;31.7636;;35.2577
14;;Bani Na'im;;31.5149;;35.1653
15;;Bani Suhela;;31.3421;;34.3253
16;;Beit Hanoun;;31.5385;;34.5366
17;;Beit Jala;;31.7160;;35.1871
18;;Beit Lahia;;31.5513;;34.5092
19;;Beitunia;;31.8893;;35.1698
20;;Beit Sahour;;31.6978;;35.2285
21;;Beit Ummer;;31.6228;;35.1022
22;;kufermalek;;31.9902;;35.3102
23;;al-Bireh;;31.9126;;35.2217
24;;Deir al-Balah;;31.4171;;34.3509
25;;ad-Dahiriya;;31.4096;;34.9755
26;;Dura;;31.5051;;35.0275
27;;Gaza;;31.5017;;34.4668
28;;Halhul;;31.5799;;35.0999
29;;Idhna;;31.5573;;34.9792
30;;Jabalia;;31.5294;;34.4797
31;;al Led;;31.9510;;34.8881
32;;shfa amro;;32.8058;;35.1700
33;;Khan Yunis;;31.3462;;34.3040
34;;Qabatiya;;32.4096;;35.2801
35;;Rafah;;31.2968;;34.2435
36;;Safed;;32.9646;;35.4960
37;;as-Samu;;31.3986;;35.0653
38;;Surif;;31.6496;;35.0647
39;;Ya'bad;;32.4468;;35.1673
40;;al-Yamun;;32.4867;;35.2336
41;;Yatta;;31.4441;;35.0901
42;;az-Zwayda;;31.4298;;34.3707
43;;yafa;;32.0494;;34.7584
44;;hifa;;32.7940;;34.9896
45;;tel al-Rabee;;32.0853;;34.7818
46;;Al Nassrah;;32.6996;;35.3035
47;;Acre;;32.9331;;35.0827
48;;Ramlah;;31.9316;;34.8729
49;;Betillo;;31.9768;;35.1140
50;;Akka;;32.9261;;35.0839

50;;46
1;;34
1;;4
1;;44
1;;3
43;;50
1;;36
1;;46
1;;2
2;;4
3;;45
3;;4
4;;7
4;;5
5;;45
4;;6
6;;7
6;;45
5;;6
7;;9
7;;8
8;;9
9;;10
9;;45
10;;11
11;;27
12;;27
12;;35
12;;30
7;;13
9;;13
10;;14
11;;14
12;;15
15;;35
15;;27
16;;27
10;;16
11;;16
9;;17
10;;17
18;;27
11;;18
18;;30
18;;45
7;;19
9;;19
19;;45
9;;20
10;;20
10;;21
11;;21
4;;22
7;;22
8;;22
7;;23
22;;23
24;;27
12;;24
24;;35
25;;27
11;;25
11;;26
25;;26
27;;47
11;;28
10;;28
11;;29
27;;29
27;;30
30;;35
31;;45
9;;31
7;;31
32;;44
32;;46
32;;47
32;;36
27;;33
12;;33
33;;35
4;;34
34;;44
36;;47
36;;46
11;;37
27;;37
11;;38
27;;38
38;;45
9;;38
4;;39
1;;39
39;;46
39;;44
1;;40
40;;46
40;;44
11;;41
27;;41
27;;42
35;;42
43;;45
44;;46
44;;47
46;;47
45;;48
9;;48
27;;48
49;;7
6;;49
